                                                                                                                                         Tweet,Sentimen
Udah gak usah bahkan gak perlu nyalahin pemerintah lagi. Disaat ini saling bahu-membahu bersama adalah waktu yg tepat,Positif
"Hi, Dreamers! Kita masih membuka donasi untuk melawan pandemi #corona atau #covid19",Positif
Warga Aceh Tamiang Rapid Test Positif Corona,Positif
@uusbiasaaja suntuk di rumah karena virus #corona ? tenang kini kita punya solusi nya main games ,Positif
Ya kuncinya cuma transparansi sih. Itu aja dulu.,Positif
"@DreamersRadioID: Hi, Dreamers! Kita masih membuka donasi untuk melawan pandemi #corona atau #covid19 ",Positif
"Jangan tunggu lagi,mencegah lebih baik daripada mengobati.",Positif
Aplikasi ini diyakini dapat membantu dalam memutus mata rantai penularan #virus SARS-CoV-2 atau #Corona penyebab,Positif
"etap dirumah ajayaa, Dari pada ketemu aku di Rumah Sakit",Positif
"Demi menghadapi pandemi virus #corona , Pemerintah #india mengambil kebijakan #lockdown . Selama menerapkan kebijakan tersebuy",Positif
Merah Putih Kasih Foundation Salurkan Ratusan APD Baju Hazmat kepada DPRD Kota Tangsel. ,Positif
"Pemerintah Kabupaten Muaro Jambi, Provinsi Jambi, memberikan pembebasan sementara terhadap 8 jenis pajak daerah selama tiga b",Positif
Pemkot Surabaya memberdayakan UMKM untuk memproduksi masker dan alat pelindung diri.,Positif
Imbauan pakai masker dan jaga jarak belum efektif di Malang.,Positif
"Top News Rakyat Merdeka Edisi Cetak, Siap Diisolasi Di Kampung ",Positif
"227 WNA Malaysia yang tengah menyantri di Ponpes Al Fatah, Magetan akan dipulangkan.",Positif
Presiden Jokowi belum lama ini mengumumkan larangan mudik yang berlaku mulai besok #Covid_19 #COVID #COVID19,Positif
Thalapathy dhoolu #RealHeroThalapathyVIJAY#CoronaReliefFund #Corona ,Positif
Gubernur DKI Jakarta Anies Baswedan menyampaikan perpanjangan penerapan Pembatasan Sosial Berskala Besar (PSBB) ,Positif
 Dialognya siapa nih?,Positif
"Semua tunduk pada Pahlawan #COVID, perawat pegang kendali",Positif
"Rasa bersyukur yg tak henti.  Smg selalu dlm keadaan sehat walafiat,  dijauhkan dr segala macam penyakit",Positif
"Pilih mudik tau pulang kampung ya..?Gagas kui.....! Sing di pikir saiki, kapan eneng penerbangan kii?",Positif
"Himbauan kepada Masyarakat untuk mematuhi PSBB dan mencegah penyebaran Virus Corona,",Positif
"Cegah Penyebaran Virus #Corona, #Alfamart Pangkep Bagi-bagi Masker ",Positif
Cara mengisi sensus penduduk online 2020 melalui hp,Positif
"Selamat Menjalankan Ibadah Wajib Puasa #Ramadhan 1441 H, Semoga semua amal ibadah kita diterima oleh Allah SWT.#Corona",Positif
Terimakasih karena tetap bekerja untuk membantu melawan covid-19 di rumah sakit saat kami bekerja di rumah,Positif
"Puan Ajak Dunia Lawan Pandemi Corona | Republika Online Mobile Ajak lawan #Corona, yang di bahas Omnibus Law",Positif
"Ramadhan datang, Corona hilang. Aamiin. Momentum bertaubat dan berdoa. #Ramadhan #dirumahaja #BersatuLawanCovid19",Positif
Kita semua sedang diuji dengan wabah #coronavirus Mari kita tengok kisah Nabi Yunus yang kala itu sedang dalam perut pa,Positif
Yuk makan-makan bareng #ala_santri#dirumahaja #Corona,Positif
"Gubernur Anies mengungkapkan, bahwa pelaksanaan ibadah Ramadan di rumah pernah juga dialami Nabi Muhammad SAW",Positif
Puasa meningkatkan kekebalan tubuh. Sudah dibuktikan oleh kedokteran modern. Ayo kita kalahkan corona dengan berpuasa,Positif
"Alhamdulillah Awal pandemi #corona merebak di Indonesia, masih sempat berkarya dan meluncurkan buku bersama",Positif
"Selamat #harikartini2020 Teknopren. Walau di tengah wabah virus #corona, perekayasa perempuan BPPT tetap berkarya dan berjuang",Positif
 Luar Biasa Tokoh-tokoh Pauh IX Kuranji di Tengah Wabah corona,Positif
Bismillah yuk sama2 berdoa dan berbuat tuk #Corona segera mati dr bumi,Positif
"Covid-19 di Indonesia, Pasien Sembuh 913, Aceh 7 Kasus",Positif
ni penjelasan singkat pak presiden @jokowi mengenai perbedaan antara pulang kampung dan mudik,Positif
 semua para penghuninya dari  virus covid 19 ( Corona ) serta cepatlah berlalu,Positif
"Menyambut datangnya puasa ramadan, Raja Salman bin Abdulaziz al Saud melonggarkan pembatasan di Masjidilharam",Positif
"Harap #Corona Reda, TPQ An-Nahdliyah #Bojonegoro Khatamkan Quran 99 Kali",Positif
Semoga cepat pulih kembali bumi kita semua,Positif
Indonesia menetapkan PSBB dalam wabah #corona #COVID,Positif
Hukum puasa di tengah pandemi #corona,Positif
Semoga selalu baik-baik saja.#dirumahaja,Positif
"@kampungpangkep Pandemik #Corona, #Petani Padi Masih Tersenyum",Positif
"Hari Ini Sidang Isbat Ramadhannya Bareng, Shalatnya di Rumah",Positif
Garry Kasparov Ramaikan Turnamen Catur Online di Tengah Pandemi Covid-19,Positif
"Pandemi Virus Corona Covid-19, Bek Arsenal Bagikan 16 Ribu Makanan Bagi Orang Membutuhkan",Positif
"Semua berharap situasi pandemi corona ini segera membaik, dan semoga demikian yang terjadi",Positif
"Selamat pagi teman"""" digital, besok mungkin sudah sahur, tapi #Corona masih minta dimaki aja, jangan lupa berdo'a",Positif
Hilangkanlah #corona supaya kami bisa menjalankan ibadah di bulan Ramadan bersama-sama.,Positif
Pengumuman Cina tentang pendirian wilayah administrasi baru di kawasan #LautCinaSelatan (LCS) menuai protes keras dari Virus,Positif
Sorry #Corona maaf krna hum nashy mai idhr udhr nikl jaty hain,Positif
Deklarasi ICOR Merespon Pandemi Korona'#indonesia #corona #icor,Positif
" Demi menghadapi pandemi virus #corona , Pemerintah #india mengambil kebijakan #lockdown . Selama menerapkan kebijakan tersebut",Positif
Sebagian Pasien Positif COVID-19 Sudah diswab Kedua ,Positif
Jatim mencatatkan nilai investasi tertinggi se-Indonesia pada kuartal pertama tahun ini. #Covid_19 #COVID #COVID19,Positif
Jumlah pasien positif Covid-19 di Jawa Timur bertambah 34 orang.#Covid_19 #COVID #COVID19,Positif
"Dari bulan Februari lalu, Indonesia kena #CORONA. So, kita juga jarang ketemu lagi, kumpulý, cerita, dll",Positif
"9 dari 15 WNA India yang tengah dikarantina di Depok, Sleman, positif Covid-19.",Positif
Semoga bisa dipertemukan lagi dengan bulan suci penuh berkah ini ya Allah.#Corona pergi,Positif
Tahun ini kita LDR ya ndan karna #corona . Keluarga kita tidak bisa silaturahmi seperti tahun lalu . Aku sangat rindu,Positif
Buat yg berjuang di garda depan melawan virus Corona #dirumahaja #corona #StaySafe,Positif
"Padahal ya, kalaupun toh #mudik dan pulkam itu beda arti, yang jelas baik mudik ataupun #pulkam tetep ada orang",Positif
"Selain Vaksin, ternyata Bio Farma sedang mengembangkan Plasma Darah untuk covid-19",Positif
Cie di sms GUGAS COVID,Positif
Bersama cegah penyebaran covid-19 #Indonesia #corona #mudik,Positif
"Bangka selatan udh Zona hijau lagi , gimana kalo ditmpt kalian ?",Positif
"Semoga masuk sekolah dipercepat , udh g thn lgi",Positif
"Semoga #Corona segera berakhir, dan menjelang #RamadhanSambilRebahan mari kita menundukkan kepala sejenak,",Positif
"Saya setuju kalau ini ada sedikit konspirasi, #corona @laolyyy #LuhutBinsarPandjaitan ",Positif
Guys virus corona bukan ancaman satu2nya ya. Harus waspada sama penyakit lain juga. Tetap sehat ya gaes #RabuAmbyar,Positif
"Selain Vaksin, ternyata Bio Farma sedang mengembangkan Plasma Darah untuk covid-19",Positif
"ini solusi terbaik, terhalus, efektif dan efisien tapi hasil maksimal",Positif
"Dengan diberlakukannya isolasi mandiri, manusia menjadi sadar bahwa pentingnya pembersihan diri",Positif
" Dengan wajib bermasker, manusia menjadi sadar bahwa akan pentingnya sebuah filter",Positif
"Dengan libur bekerja, manusia menjadi sadar bahwa hal itu bukanlah segalanya namun keluargalah yang perlu dijaga",Positif
"Dengan belajar tidak diruang kelas, manusia menjadi sadar bahwa hikmah dan ilmu tersebar",Positif
Jangan karna #viruscorona #corona #covid19 kita jadi berputus asa,Positif
" Dengan dilarangnya ke tempat peribadahan, manusia menjadi sadar bahwa yang terpenting ialah nilai keagaaman",Positif
"Profesor di Sumsel Klaim Temukan Obat #Corona, ",Positif
Tak Lebih dari 5 Hari Pasien #Covid19 sembuh,Positif
Gais berikut hasil penggalangan dana kami untuk bantuan APD di Rumah Sakit Jogja.,Positif
Semoga Covid-19 segera selesai,Positif
Pemkab Cianjur akan segera beli alat Rapid Test.,Positif
"#Corona adalah makhluk Allah, samakan kita juga makhluk Allah?, tapi kita kan makhluk yang lebih berakal dari Corona.",Positif
"Berdasarkan rapid test, sebanyak 31 santri Pondok Pesantren Al-Fatah Magetan dinyatakan positif COVID-19.",Positif
Pak kalau emang #Corona mau ilang yaudah lockdown semuanya jangan ada yang keluar SEMUANYAA BIAR ADILLL BIAR CEPET,Positif
Beberapa pihak meminta Jusuf Kalla dilibatkan karena dianggap mampu untuk penanganan Covid-19,Positif
Semoga Bisa menghibur semua yang stay at home. @Negeri_Sendiri @Jirolupat_,Positif
Kasus transmisi lokal COVID-19 akhirnya terjadi di Yogyakarta.,Positif
Alhamdulillah team @nadeemmalik at @SAMAATV tests negative of #Corona.,Positif
"Namaki menuturkan, kami berhasil menurunkan jumlah kasus positif Corona sekitar 53 persen. Dalam 18 hari terakhir",Positif
Benarkah Bill Gates membuat vaksin virus Corona Covid-19 yang dipasang microchip? #CoronaVirusFacts,Positif
Kredit macet di sejumlah perbankan meningkat akibat pandemi corona,Positif
"Shopii dah mundur dari Liga 1, @PSSI Mending buat Turnamen 2x tahun ini,tahun depan baru Kompetisi lagi Kerjasama ",Positif
"Virus corona udah kaya lagu """"akad""""  berlarian kesana kemari",Positif
Kelar corona and lulus kuliah focus menata youtube,Positif
@yusiarum92 yuh otw dufan abis corona bubar. kita dolan sana ,Positif
Penularan virus corona masih terjadi hingga hari ini. Terapkan pola hidup bersih dan sehat,Positif
"Ilmuwan Indonesia Berhasil Telusuri Asal Virus Corona Yang Datang ke Indonesia, Semuanya Berasal dari China",Positif
Pemrentah mbikin UU Corona tujuannya bwat ngisi kekosongan dasar hukum menghadapi Pagebluk (pandemi) dan sbage dasar ,Positif
"Sedih gue, Ya Allah angkatlah corona ini Ya Allah.",Positif
Kami Akan Senantiasa Melindungi Dan Menjaga Negeri Tercinta Ini,Positif
 Pemerintah telah menyerahkan dokumen PerpuÿCorona kepada DPR. Perpu ini diserahkan agar bisa segera dibahas dan disahkan,Positif
"Yay, akhirnya dana untuk corona yang mega bisa disalurkan untuk penanggulangan wabah ini",Positif
Akhirnya Banggar DPR menerima dan menyetujui Perppu Nomor 1 Tahun 2020 untuk penanganan Covid-19 ditetapkan,Positif
 Wanita bernama Tracey menghebohkan dunia medis. Ia mengklaim bisa mencegah virus corona dengan rutin mengonsumsi sperma.,Positif
 Awalnya disini.  Tdk perlu takut dgn yg namanya virus corona.  Data yg saya terima 84% dpt disembuhkan. ,Positif
Lagi corona kek gini pemerintah nyuruh stay at home kan?,Positif
 Bayangin kalau misalnya besok corona tiba-tiba enyah dari muka bumi.,Positif
Satgas Pencegahan Covid 19 Kab.Pulau Morotai melaksanakan Patroli dan memberikan himbauan kepada warga agar selalu diam dirumah,Positif
"Untuk membantu masyarakat yang terdampak Covid-19, Banggar DPR Setuju Perppu Corona Dibahas jadi UU di Paripurna",Positif
"ya Alhamdulillah aja sih, corona gini selalu ada hikmahnya ya",Positif
"Corona, Social distancing,Kuliah online. Itu bukanlah jadi alasan tuk males2an",Positif
"Pakailah masker kemana anda pergi, mari putus mata rantai penyebaran virus Corona di Kebumen.",Positif
"Yuk, bareng-bareng putus rantai penyebaran virus corona dengan #StopStopSer. Lakukan dan sebarkan pesan ini ",Positif
"Yupz UU corona sangat penting, biar yg suka memanfaatkan kesempitan kapok ",Positif
"Sebentar lagi musim berganti, gaes.. Mudah2n bisa minimalisir virus #Corona",Positif
Menteri yg dulu ingin mengundurkan diri tetapi krn tersandera jejak kasus akhirnya membatalkan KINI lewat telepon bicara ,Positif
"SAH !!!,UU Corona Resmi Disahkan oleh DPR RI, Pemerintah Kini Aman Kelola Duit Darurat Rp.405 Triliun",Positif
UU Korona .Sudah sah jadi uu.saatnya kita  kawal duit rakyat untuk rakyat.ok bro/sis,Positif
4 hari ini cuma keluar duit 10rb.. hmm sisi baik corona,Positif
Pandemi virus corona yang mengguncang banyak industri tidak banyak menggerus permintaan terhadap mobil Ferrari. ,Positif
Sri Mulyani Sebut Perppu Corona Tak Buat Pejabat Kebal Hukum,Positif
Ayo kita dukung landasan hukum buat menangani wabah corona agar semua kebijakan dan penyaluran bantuan,Positif
"Baru 2 minggu yg lalu mulai dilarang, masih sedang dilaksanakan, hingga banyak pemeriksaan di mana2",Positif
 Masyarakat wajib menggunakan masker saat keluar rumah di tengah wabah virus Corona (COVID-19).,Positif
Harapan jokowi DPR segera setujui perpu corona jadi UU,Positif
"Tiga penumpang KRL positif virus Covid-19 berdasarkan hasil tes swab di Stasiun Bogor, Jabar.",Positif
"Kalau sudah main panggilan-panggilan begini, biasanya alasan paling klasik untuk tidak memenuhi panggilan adalah pergi umroh",Positif
: Tiga gnome SARS-CoV-2 dari tiga orang penderita COVID-19 berhasil dipetakan Lembaga Biologi Molekuler Eijkman.,Positif
"sy mila ingin berdoa semoga corona cepat"""" musnah dari bumi",Positif
" Makasar panas kan, masa corona berani juga kesana ?",Positif
"Stop Berkerumun, Ayo Jaga Kebersihan dan Jaga Jarak Untuk Kesehatan dan Keselamatan Kita Semua",Positif
"Iya saya juga sedih wabah corona ini, kangen kampus, kangen teman2, kangen meeting sama klien sambil suguhi aneka makan",Positif
"Hal ini untuk menghadirkan kesan lebih baik untuk wisatawan, setelah pandemi berakhir. ",Positif
Jerinx berkali-kali menegaskan kalau ia percaya ada agenda para elit global di balik mewabahnya virus corona ini,Positif
CORONA itu sebenarnya hanya wabah. Tp ditangan pemimpin yg lemah berubah jadi musibah.,Positif
Wanti-wanti Jokowi Antisipasi Gelombang Kedua Corona dari Kepulangan TKI,Positif
Kasus Tertular dan Sembuh Seimbang,Positif
"Sedih gue, Ya Allah angkatlah corona ini Ya Allah.",Positif
 Kita prihatin setelah 3 hari tren kasus Corona di DKI menurun kembali melonjak. Ini sinyal bhw wabah Corona masih jauh dari indonesia,Positif
Awalnya disini.  Tdk perlu takut dgn yg namanya virus corona.  Data yg saya terima 84% dpt disembuhkan.,Positif
"Suku Dinas Kesehatan Jakarta Pusat menggelar rapid test kepada warga di Kelurahan Kebon Kacang, Jakarta Pusat. ",Positif
Corona cepet cepet ilang plisss kebutuhan gue banyak banget ini,Positif
Stop Sebar Hoax Corona! Sebar Hoax Bisa Kena UU ITE! #LawanHoaxBeritaCorona #2020berkata ,Positif
baek gue beli satu dulu ya... yang lainnya nyusul habis corona selese dah serius,Positif
" Ajudan Wagub Sumut, menjadi kasus pertama terinfeksi virus Corona setelah sebelumnya dinyatakan sembuh.",Positif
BPOM akhirnya buka suara. Waspada klaim sesat Satgas Jamu Tongfang Dasco Gerindra yang menyatakan #HERBAVID19 dapat menyembuhkan,Positif
,Positif
"Pak,bapak sempat kena virus corona loh dan sama Allah masih dikasih waktu",Positif
Presiden @jokowi meminta jajarannya untuk membantu menekan persebaran virus Corona di sejumlah daerah yang angkanya masih tin…ggi,Positif
@JokoHQ silahkan berkelompok 10 orang pilih 1 orang jadi ketua u maju presentasi (tes corona) gitu ya?,Positif
tujuan Perpu 1/2020 adalah semata2 memberikan ruang gerak bagi pemerintah untuk melakukan stimulus fiskal dan langkah2 lain ya,Positif
"pihak yg bersebrangan dgn pemerintah dlm program penanggulang corona, diam2 sudah mulai mengakui dan menyadari manfaatnya ",Positif
"tetapi, bukannya pemberitaan itu menandakan bahwa Corona sudah mulai pulih?",Positif
Surat presiden mengenai Perpu Keuangan Negara dan Stabilitas Keuangan saat darurat virus corona sudah berada di DPR. ,Positif
"Cegah Penyebaran Corona, Anggota Polresta Palangkaraya Kalteng dan Yayasan Ini Bagikan Masker ",Positif
"Kabar baiknya, tak ada penambahan kasus positif corona di Selandia Baru selama dua hari berturut.",Positif
DPR HARUS SETUJUI Perpu Corona Menjadi UU CORONA ,Positif
Di mana untuk membahas langkah-langkah BUMN dalam penanganan Virus Corona atau Covid-19.,Positif
Mundur! Wabah Corona di Indonesia yang sebelumnya diprediksi selesai di 6 Juni kini bergeser menjadi 23 September 2020. ,Positif
Asal Corona dari China. Tapi sampai saat ini TKA China masih mengalir masuk ke Indonesia. Logika berpikir para pemimpin kita,Positif
Takut kepada ALLAAH mendatangkan KETENANGAN.,Positif
Takut kepada selain ALLAAH mendatangkan KEGELISAHAN,Positif
selesai corona ayok makan seblak pademangan,Positif
 Presiden Jokowi memerintahkan pengendalian arus balik ke arah Jabodetabek. Jokowi meminta agar arus balik tidak memunculkan,Positif
Pasien Positif Corona di Aceh Tinggal SatuÿOrang,Positif
Kita Bisa Belajar dari Kesuksesan China Tangani Corona,Positif
Selesai corona semoga bisa ngerasain keuwuan pokoknya,Positif
Ayo corona cepet ilang dong aku mau nyari sekolah,Positif
"Mau berbagi sedikit cerita dari temen gw yg """"Sembuh"""" dari Corona.",Positif
"Untuk mencegah terjadinya krisis pangan selama pandemi virus Corona, seorang Kepala Desa Di Kabupaten Blitar ",Positif
"Abis corona pokoknya mau liat ijo"""" lagiiiii",Positif
Bangkitkan Kesadaran Diri Sendiri Demi Berakhirnya Corona,Positif
Kgn kumpul? di tapi terhambat corona ,Positif
"Skip dulu ya, nanti selesai corona pasti mama nafkahin kamu lagi okay?",Positif
"Corona kelar, pengadilan agama penuh",Positif
"Corona cepatlah pergi, Udah sebulan dirumah nih rebahan terus ",Positif
"Cegah Penularan Corona, Tukang Cukur Ini Kenakan APD",Positif
Gimana corona di korea? Udah aman ya korea?,Positif
Udah posting di IG tp kayanya butuh dishare di twitter juga ,Positif
Cuss lah. Corona enyah kita njajan. Sampek koe lemuu aku ora,Positif
Disuruh bikin teks drama tentang corona bingung sendir anjr,Positif
Menkopolhukam Mahfud MD membeberkan soal hak imunitas pemerintah di Perpu corona,Positif
Pemprov Jabar waspadai potensi penyebaran virus corona di tempat kerja ,Positif
" Iya saya juga sedih wabah corona ini, kangen kampus, kangen teman2, kangen meeting sama klien sambil suguhi aneka makan",Positif
"Viral video dua pria membagikan sembako dan uang. Dalam video tersebut, sembako plus uang tunai itu dibagikan kepada warga ",Positif
"Sebentar lagi musim berganti, gaes..",Positif
"Mudah2n bisa minimalisir virus #Corona, ",Positif
Sebuah data kembali mengungkap prediksi akhir wabah virus Corona di sejumlah negara. RI bakal mengakhiri wabah lebih lama,Positif
"Corona cepat selesai dong, di rumah mulu duit ga jalan ya Allah nangis banget",Positif
Mudik dilarang itu untuk keselamatan bersama disaat pandemic seperti ini,Positif
Gaya @ganjarpranowo mengecek persiapan New Normal di mall,Positif
atut dicontoh oleh yg lain turun langsung ke lapangan agar penerap…,Positif
" Kondisi kota surabaya sudah parah dalam penanganan virus corona, Pemkot sudah tidak mampu mengendalikan dan kemampuan rumah…",Positif
"aku: """"pengen udahan coronanya""""",Positif
kita taruhan yu yang duluan udahan kita atau corona…,Positif
Tapi kita belum akan melakukan normal baru dalam waktu pendek. Kalau nanti kita melihat grafiknya masih tinggi tentu normal…,Positif
"Jaga-jarak, jaga-diri, kawan2 semua",Positif
" Menurut pemerintah hari ini tidak ada penambahan signifikan kasus di daerah, tapi jumlah penambahan kasus hari ini mencapai 6",Positif
Dokter Pembongkar Kebobrokan Penanganan Corona di Surabaya akan Dihukum,Positif
" kapal-kapal wisata di Labuan Bajo semasa corona. Satu persatu tenggelam, menanti corona selesai. ",Positif
Tunda untuk tahun ajaran baru sekolah selama pandemik corona - Tandatangani Petisi! ,Positif
@omkuyusss Yang penting kan benefitnya mas hehe,Positif
"Dpet crita tmn , pcrnya kena corona di LA . Gila2 g tertolong ",Positif
"Bukan karna corona, tp emang menghindar biar ga ketemu aja ya hehe",Positif
Bayangin kamu tidur terus besok pagi bangun dan ternyata bencana corona ini ternyata cuma mimpi buruk dan kita bera…t,Positif
Kasus positif corona semakin meninggi sebagai gambaran tingkat kepedulian masyarakat masih rendah,Positif
"Soal Sekolah Kembali Dibuka, KPAI: Berpotensi Munculkan Klaster Baru Corona",Positif
"Corona itu seperti istrimu, ketika engkau mau mengawini, kamu berpikir, kamu bisa menaklukan dia. Tapi sesudah menjadi ist",Positif
@CutiepieLeo iyaa smoga per corona an ini bs sgera berakhir,Positif
"Yang berat tuh misscomnya. Kadang jadi overthinking, kadang misspresepsi, dibuat kangen gila2an, tapi masi…",Positif
Masa depan dunia pasca corona menyongsong peradaban baru islam (KHILAFAH).,Positif
 @podoradong: RS Unair berhenti menerima pasien corona ,Positif
@Aryprasetyo85 @HarisSekipi @jokowi Semoga putus mata rantai penyebaran virus corona ini…,Positif
"Hadapi New Normal, Ini 6 Cara Melindungi Diri dari Virus Corona Saat Kembali Bekerja di Kantor",Positif
Lepas Libur Libur. Seandainya tak ada corona. Mungkin ku sudah pulang k bdg.,Positif
"Pengen ketemu tau sayang,tapi jauh dan ditambah lagi ada corona",Positif
Jokowi Kerahkan TNI Polri Untuk Aktif Mendisiplinkan Masyarakat,Positif
"Sebelum corona boro2 gitu, corona bener2 bisa merubah perilaku sih. Untungnya berubah ke hal yg positif.",Positif
Pemkot Bekasi Jelaskan Sekeluarga Positif Corona: Bukan Tertular Saat Salat ,Positif
Seorang dokter mengungkapkan bantuan Pemkot Surabaya yang diberikan kepada tenaga medis berupa makanan.,Positif
" wildan ulang tahun gak kek gini gini kali padahal lagi corona jugak, sedih sedihh andre aja yg baru masuk…",Positif
Survei: Penanganan Corona oleh Provinsi Lebih Baik dari Pusat,Positif
"sebenernya aku kangen bgt sama malang, tp kalo kuliah masuk pas corona blm membaik jatohnya kayak jihad ga sih?",Positif
YA ALLAH KAPAN CORONA RAMPUNG ,Positif
"Ga cukup kasih panggung ke para pemercaya konspirasi yang propagandain corona ga bahaya, sekarang berempati sama koruptor…",Positif
org yg sekolah tinggi harusnya mikirnya tuh makin bijak. ,Positif
"Kalau corona belum ilang nih, pertanyaan cuma satu. Kapan balik kuliah lagi?",Positif
Anies menegaskan penggunaan SIKM untuk melindungi warga Jakarta dari virus corona.,Positif
kmren pas corona belum masuk kok gaada 'gladi corona' seh. santuy gtu ,Positif
"mikirin idup, kerjaan, corona, psbb tuh  pusing. mikirin kamu pusing juga tapi kok tetep diulang-ulang ya?",Positif
Jika terbukti  tidak dipenuhi maka pantaslah disebut tukang ngubul. ,Positif
"Penambahan jumlah corona perhari mulai tidak masuk akal, saking gak masuk akal, iki meden medeni opo yopo.. Suwe suwe mikirku dadi ngunu",Positif
@ehkntlo pengen kumpull kl dah kelar corona,Positif
WHO Minta Indonesia Hentikan Penggunaan Klorokuin ke Pasien Corona ,Positif
"perasaanku kekamu kayak corona di Indonesia, meski tak diinginkan tapi tetap bertambah",Positif
Sayang banget Lucinta Luna gaada pas corona gini,Positif
@azizarhma Kata corona gpp kalo mau beli es doang hyung,Positif
"Salut! 80,70% Warga Jakarta Puas dengan Cara Anies Tangani Wabah Corona",Positif
